State,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20,4/11/20,4/12/20,4/13/20,4/14/20,4/15/20,4/16/20,4/17/20,4/18/20,4/19/20,4/20/20,4/21/20,4/22/20,4/23/20,4/24/20,4/25/20,4/26/20,4/27/20,4/28/20,4/29/20,4/30/20,5/1/20,5/2/20,5/3/20,5/4/20,5/5/20,5/6/20,5/7/20,5/8/20,5/9/20,5/10/20,5/11/20,5/12/20,5/13/20,5/14/20,5/15/20,5/16/20,5/17/20,5/18/20,5/19/20,5/20/20,5/21/20,5/22/20,5/23/20,5/24/20,5/25/20,5/26/20,5/27/20,5/28/20,5/29/20
Alabama,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,4.0,6.0,13.0,16.0,17.0,21.0,26.0,31.0,32.0,39.0,48.0,48.0,58.0,60.0,61.0,61.0,73.0,75.0,82.0,96.0,110.0,112.0,112.0,141.0,175.0,196.0,208.0,212.0,218.0,227.0,240.0,261.0,269.0,287.0,287.0,289.0,297.0,314.0,341.0,368.0,381.0,388.0,391.0,401.0,438.0,448.0,470.0,482.0,482.0,485.0,486.0,500.0,522.0,529.0,541.0,551.0,558.0,566.0,580.0,583.0,605.0,610.0
Alaska,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,6.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0,7.0,7.0,6.0,7.0,7.0,7.0,8.0,8.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,0.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Arizona,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,5.0,5.0,8.0,13.0,15.0,17.0,20.0,24.0,29.0,32.0,41.0,52.0,64.0,65.0,72.0,79.0,86.0,95.0,108.0,115.0,122.0,131.0,142.0,150.0,169.0,177.0,184.0,187.0,208.0,228.0,249.0,266.0,273.0,275.0,276.0,293.0,304.0,320.0,330.0,348.0,362.0,362.0,395.0,426.0,450.0,517.0,532.0,536.0,542.0,562.0,594.0,624.0,651.0,679.0,680.0,686.0,704.0,747.0,762.0,774.0,799.0,800.0,805.0,807.0,831.0,856.0,885.0
Arkansas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,6.0,5.0,5.0,7.0,8.0,10.0,12.0,12.0,13.0,15.0,16.0,18.0,18.0,21.0,24.0,25.0,27.0,27.0,32.0,34.0,37.0,37.0,38.0,39.0,42.0,43.0,44.0,45.0,47.0,48.0,50.0,51.0,57.0,59.0,61.0,64.0,72.0,75.0,80.0,83.0,87.0,88.0,88.0,88.0,91.0,94.0,95.0,97.0,98.0,98.0,98.0,98.0,100.0,102.0,107.0,110.0,113.0,115.0,116.0,117.0,119.0,120.0,125.0,132.0
California,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,4.0,4.0,4.0,5.0,6.0,7.0,7.0,7.0,7.0,9.0,14.0,17.0,20.0,22.0,27.0,32.0,36.0,43.0,55.0,70.0,86.0,103.0,124.0,135.0,152.0,185.0,215.0,246.0,284.0,323.0,352.0,389.0,448.0,505.0,546.0,596.0,632.0,677.0,726.0,779.0,879.0,971.0,1011.0,1147.0,1177.0,1224.0,1317.0,1430.0,1527.0,1611.0,1690.0,1713.0,1776.0,1865.0,1941.0,2031.0,2128.0,2185.0,2208.0,2282.0,2376.0,2459.0,2540.0,2627.0,2689.0,2716.0,2777.0,2877.0,2969.0,3049.0,3157.0,3208.0,3240.0,3284.0,3406.0,3495.0,3597.0,3667.0,3735.0,3751.0,3766.0,3821.0,3912.0,3993.0,4074.0
Colorado,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,4.0,6.0,7.0,7.0,11.0,19.0,24.0,31.0,44.0,47.0,54.0,69.0,80.0,97.0,111.0,126.0,139.0,150.0,179.0,193.0,227.0,250.0,274.0,290.0,290.0,329.0,357.0,374.0,391.0,411.0,422.0,449.0,486.0,508.0,550.0,672.0,670.0,678.0,704.0,736.0,766.0,777.0,820.0,832.0,842.0,851.0,901.0,921.0,944.0,959.0,967.0,971.0,987.0,1009.0,1062.0,1091.0,1150.0,1192.0,1214.0,1224.0,1257.0,1298.0,1308.0,1321.0,1325.0,1329.0,1332.0,1351.0,1392.0,1421.0,1436.0
Connecticut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,5.0,8.0,10.0,12.0,19.0,21.0,27.0,33.0,34.0,36.0,69.0,85.0,111.0,133.0,165.0,189.0,206.0,277.0,335.0,380.0,448.0,494.0,554.0,602.0,671.0,868.0,971.0,1036.0,1086.0,1127.0,1331.0,1423.0,1542.0,1637.0,1763.0,1861.0,1923.0,2011.0,2088.0,2168.0,2257.0,2339.0,2436.0,2495.0,2556.0,2633.0,2718.0,2796.0,2874.0,2932.0,2967.0,3008.0,3041.0,3125.0,3219.0,3285.0,3338.0,3407.0,3448.0,3471.0,3528.0,3581.0,3637.0,3674.0,3693.0,3742.0,3768.0,3801.0,3826.0,3868.0
Delaware,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,6.0,7.0,10.0,11.0,12.0,14.0,14.0,14.0,15.0,16.0,19.0,23.0,32.0,33.0,35.0,35.0,43.0,46.0,52.0,61.0,67.0,67.0,72.0,82.0,89.0,92.0,100.0,112.0,120.0,125.0,137.0,144.0,152.0,159.0,168.0,177.0,182.0,187.0,193.0,202.0,202.0,202.0,202.0,223.0,236.0,247.0,260.0,271.0,286.0,290.0,297.0,304.0,310.0,317.0,322.0,324.0,326.0,332.0,336.0,345.0,346.0,356.0
District of Columbia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,2.0,3.0,3.0,4.0,5.0,9.0,9.0,11.0,12.0,15.0,21.0,21.0,22.0,22.0,22.0,27.0,22.0,22.0,22.0,22.0,22.0,67.0,72.0,81.0,86.0,91.0,96.0,105.0,112.0,127.0,139.0,153.0,165.0,178.0,185.0,190.0,205.0,224.0,231.0,240.0,251.0,258.0,264.0,264.0,285.0,304.0,311.0,323.0,328.0,336.0,350.0,358.0,368.0,375.0,383.0,392.0,400.0,407.0,412.0,418.0,427.0,432.0,440.0,440.0,445.0,453.0,460.0
Florida,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,5.0,6.0,7.0,8.0,10.0,10.0,13.0,19.0,21.0,25.0,30.0,46.0,56.0,59.0,71.0,85.0,97.0,144.0,170.0,195.0,221.0,254.0,296.0,323.0,371.0,419.0,446.0,461.0,461.0,571.0,614.0,668.0,726.0,748.0,774.0,823.0,867.0,927.0,987.0,1046.0,1055.0,1074.0,1088.0,1171.0,1218.0,1267.0,1314.0,1364.0,1379.0,1399.0,1468.0,1535.0,1596.0,1667.0,1713.0,1719.0,1735.0,1779.0,1827.0,1875.0,1917.0,1963.0,1973.0,1996.0,2051.0,2094.0,2144.0,2190.0,2233.0,2237.0,2252.0,2258.0,2319.0,2364.0,2413.0
Georgia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,14.0,20.0,20.0,26.0,37.0,46.0,55.0,65.0,78.0,82.0,102.0,125.0,154.0,175.0,197.0,207.0,219.0,292.0,345.0,367.0,408.0,420.0,431.0,441.0,441.0,522.0,574.0,615.0,665.0,673.0,687.0,766.0,815.0,842.0,878.0,895.0,902.0,912.0,988.0,1029.0,1088.0,1125.0,1158.0,1165.0,1171.0,1233.0,1283.0,1319.0,1343.0,1388.0,1390.0,1392.0,1445.0,1482.0,1503.0,1535.0,1575.0,1585.0,1594.0,1634.0,1669.0,1690.0,1770.0,1804.0,1819.0,1824.0,1847.0,1896.0,1938.0,1970.0,2003.0
Hawaii,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,3.0,3.0,4.0,5.0,6.0,6.0,6.0,8.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,16.0,16.0,16.0,16.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0
Idaho,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,5.0,6.0,7.0,9.0,9.0,9.0,10.0,10.0,10.0,12.0,14.0,17.0,23.0,25.0,27.0,27.0,33.0,39.0,41.0,41.0,43.0,44.0,45.0,48.0,51.0,54.0,54.0,54.0,56.0,56.0,58.0,58.0,60.0,62.0,62.0,63.0,63.0,63.0,65.0,66.0,67.0,67.0,67.0,67.0,69.0,69.0,69.0,72.0,73.0,73.0,73.0,74.0,76.0,76.0,76.0,78.0,78.0,78.0,78.0,81.0,82.0,82.0,82.0
Illinois,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,5.0,6.0,8.0,11.0,16.0,18.0,26.0,29.0,47.0,65.0,72.0,99.0,139.0,157.0,209.0,244.0,274.0,307.0,380.0,462.0,528.0,596.0,677.0,720.0,720.0,868.0,948.0,1072.0,1132.0,1259.0,1290.0,1349.0,1468.0,1565.0,1688.0,1795.0,1875.0,1933.0,1983.0,2125.0,2214.0,2354.0,2456.0,2554.0,2616.0,2660.0,2838.0,2974.0,3110.0,3239.0,3347.0,3405.0,3458.0,3601.0,3791.0,3927.0,4057.0,4127.0,4176.0,4233.0,4377.0,4524.0,4607.0,4715.0,4790.0,4855.0,4884.0,4923.0,5083.0,5186.0,5270.0
Indiana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,5.0,5.0,9.0,14.0,19.0,24.0,29.0,35.0,44.0,47.0,57.0,75.0,90.0,111.0,133.0,154.0,185.0,210.0,244.0,269.0,304.0,332.0,367.0,392.0,412.0,440.0,473.0,515.0,552.0,582.0,616.0,641.0,673.0,708.0,750.0,789.0,817.0,843.0,879.0,910.0,943.0,963.0,1007.0,1062.0,1115.0,1132.0,1151.0,1213.0,1264.0,1295.0,1328.0,1362.0,1379.0,1411.0,1444.0,1481.0,1506.0,1550.0,1596.0,1607.0,1621.0,1675.0,1716.0,1764.0,1791.0,1812.0,1824.0,1831.0,1849.0,1870.0,1906.0,1946.0
